Type,Policy ID,Policy Name,Policy Category ID,Policy Category Name,Policy Target All Computers,Policy Target Computer ID,Policy Target Computer Name,Policy Target Group ID,Policy Target Group Name,Policy Target Group is Smart,Policy Exclusion Computer ID,Policy Exclusion Computer Name,Policy Exclusion Group id,Policy Exclusion Group Name,Policy Exclusion Group is Smart,Policy Package ID,Policy Package Name,Policy Package Category Name,Policy Package Filename,Policy Script ID,Policy Script Name,Policy Script Category Name,Policy Script Filename,Configuration Profile ID,Configuration Profile Name,Configuration Profile Category ID,Configuration Profile Category Name,Configuration Profile Target Computer ID,Configuration Profile Target Computer Name,Configuration Profile Target Group ID,Configuration Profile Target Group Name,Configuration Profile Target Group is Smart,Configuration Profile Exclusion Group id,Configuration Profile Exclusion Group Name,Configuration Profile Exclusion Group is Smart,Policy Scripts ID,Policy Scripts Name
Policy,333,Box Sync v2.2.167,33,"""Cloud Storage""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,333,Box Sync v2.2.167,33,"""Cloud Storage""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,333,Box Sync v2.2.167,33,"""Cloud Storage""",,,,,,,,,,,,144,BoxDrive-v2.2.167.pkg,"""-Box""",BoxDrive-v2.2.167.pkg,,,,,,,,,,,,,,,,,,
Policy,335,Crowdstrike Falcon - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,335,Crowdstrike Falcon - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,349,CrowdStrikeFalconSensor-6.24.pkg,"""-Crowdstrike""",FalconSensorMacOS_6.24.pkg,,,,,,,,,,,,,,,,,,
Policy,337,Hive Streaming v2018.1.335,40,"""Graphics and Multimedia""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,337,Hive Streaming v2018.1.335,40,"""Graphics and Multimedia""",,,,309,Static-Policy-Hive Streaming POC,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,337,Hive Streaming v2018.1.335,40,"""Graphics and Multimedia""",,,,,,,,,,,,146,hive_osx-2018.1.335.pkg,"""Graphics and Multimedia""",hive_osx-2018.1.335.pkg,,,,,,,,,,,,,,,,,,
Policy,344,Snow Agent 6.0.1 - General Availability,56,"""-Snow""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,344,Snow Agent 6.0.1 - General Availability,56,"""-Snow""",,,,323,Policy-Snow Agent 6.0.1 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,344,Snow Agent 6.0.1 - General Availability,56,"""-Snow""",,,,,,,,,417,Static-Policy-Snow Agent Exclusion,False,,,,,,,,,,,,,,,,,,,,,,
Packages,344,Snow Agent 6.0.1 - General Availability,56,"""-Snow""",,,,,,,,,,,,151,IQVIA_snowagent-6.0.1.x64.pkg,"""-Snow""",IQVIA_snowagent-6.0.1.x64.pkg,,,,,,,,,,,,,,,,,,
Policy,346,Cisco Jabber 12.8.2,34,"""Collaboration and Conferencing""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,346,Cisco Jabber 12.8.2,34,"""Collaboration and Conferencing""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,346,Cisco Jabber 12.8.2,34,"""Collaboration and Conferencing""",,,,,,,,,,,,355,Cisco Jabber 12.8.2.pkg,"""-Cisco""",Cisco Jabber 12.8.2.pkg,,,,,,,,,,,,,,,,,,
Policy,347,Snow Agent - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,347,Snow Agent - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,151,IQVIA_snowagent-6.0.1.x64.pkg,"""-Snow""",IQVIA_snowagent-6.0.1.x64.pkg,,,,,,,,,,,,,,,,,,
Policy,348,Apple Updates Check Mojave - DEV,2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,348,Apple Updates Check Mojave - DEV,2,"""-Apple""",,,,,,,,,,,,,,,,23,InstallAppleUpdates-1.1,"""-Apple""",InstallAppleUpdates-1.1,,,,,,,,,,,,,,
Policy,354,Justinmind 8.7.0,40,"""Graphics and Multimedia""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,363,TechSmith Snagit 2019,40,"""Graphics and Multimedia""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,363,TechSmith Snagit 2019,40,"""Graphics and Multimedia""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,363,TechSmith Snagit 2019,40,"""Graphics and Multimedia""",,,,,,,,,,,,161,TechSmith Snagit 2019.pkg,"""-TechSmith""",TechSmith Snagit 2019.pkg,,,,,,,,,,,,,,,,,,
Policy,365,2019-09-05 at 11:44 PM | lcalcano | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,366,Reset L-I administrator account,20,"""-MacMD""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,368,2019-10-04 at 1:23 PM | lcalcano | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,369,2019-10-04 at 1:45 PM | lcalcano | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,370,Apple Updates Check Beta Users,2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,370,Apple Updates Check Beta Users,2,"""-Apple""",,,,331,Static-Global-MacOS Beta testers,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,370,Apple Updates Check Beta Users,2,"""-Apple""",False,,,,,,2214,INBGL1WLX47614,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,370,Apple Updates Check Beta Users,2,"""-Apple""",False,,,,,,2406,INBGL3WLX22973,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,371,Microsoft Office 365 v16.28,43,"""Office Productivity""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,371,Microsoft Office 365 v16.28,43,"""Office Productivity""",,,,307,Global-MacMD Mojave Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,371,Microsoft Office 365 v16.28,43,"""Office Productivity""",,,,,,,,,,,,164,Microsoft_Office_16.28.19081202_BusinessPro_Installer.pkg,"""-Microsoft""",Microsoft_Office_16.28.19081202_BusinessPro_Installer.pkg,,,,,,,,,,,,,,,,,,
Policy,373,Apple Enterprise Connect 2.0.5 - General Adopters,2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,373,Apple Enterprise Connect 2.0.5 - General Adopters,2,"""-Apple""",,,,332,Policy-Apple Enterprise Connect 2.0.5 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,373,Apple Enterprise Connect 2.0.5 - General Adopters,2,"""-Apple""",,,,,,,,,,,,165,Enterprise Connect 2.0.5.pkg,"""-Apple""",Enterprise Connect 2.0.5.pkg,,,,,,,,,,,,,,,,,,
Policy,375,BGSOF Canon Printer,44,"""Printers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,375,BGSOF Canon Printer,44,"""Printers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,376,Xerox Print Drivers 5.3.0,44,"""Printers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,376,Xerox Print Drivers 5.3.0,44,"""Printers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,376,Xerox Print Drivers 5.3.0,44,"""Printers""",,,,,,,,,,,,167,Xerox Print Driver 5.3.0.pkg,"""-Xerox""",Xerox Print Driver 5.3.0.pkg,,,,,,,,,,,,,,,,,,
Policy,377,PaperCut Print Deploy Client,44,"""Printers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,377,PaperCut Print Deploy Client,44,"""Printers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,377,PaperCut Print Deploy Client,44,"""Printers""",,,,,,,,,,,,199,PaperCut Print Deploy ClientJAN20.pkg,"""-Xerox""",PaperCut Print Deploy ClientJAN20.pkg,,,,,,,,,,,,,,,,,,
Policy,378,Xerox Print Drivers 5.3.0 General Availability,29,"""-Xerox""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,378,Xerox Print Drivers 5.3.0 General Availability,29,"""-Xerox""",,,,335,Policy-Xerox Print Drivers 5.3.0 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,378,Xerox Print Drivers 5.3.0 General Availability,29,"""-Xerox""",,,,,,,,,400,Global-MacMD Big Sur Computers,True,,,,,,,,,,,,,,,,,,,,,,
Packages,378,Xerox Print Drivers 5.3.0 General Availability,29,"""-Xerox""",,,,,,,,,,,,167,Xerox Print Driver 5.3.0.pkg,"""-Xerox""",Xerox Print Driver 5.3.0.pkg,,,,,,,,,,,,,,,,,,
Policy,381,Palo Alto Networks GlobalProtect 5.0.8,46,"""Remote Access""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,381,Palo Alto Networks GlobalProtect 5.0.8,46,"""Remote Access""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,381,Palo Alto Networks GlobalProtect 5.0.8,46,"""Remote Access""",,,,,,,,,400,Global-MacMD Big Sur Computers,True,,,,,,,,,,,,,,,,,,,,,,
Packages,381,Palo Alto Networks GlobalProtect 5.0.8,46,"""Remote Access""",,,,,,,,,,,,198,PaloAltoGlobalProtect-5.0.8.pkg,"""-Palo Alto Networks""",PaloAltoGlobalProtect-5.0.8.pkg,,,,,,,,,,,,,,,,,,
Policy,382,McAfee ENS 10.6.8,38,"""Endpoint Protection""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,382,McAfee ENS 10.6.8,38,"""Endpoint Protection""",,1058,CLVW3011169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,382,McAfee ENS 10.6.8,38,"""Endpoint Protection""",,,,,,,,,,,,216,McAfeeENS10.6.8.pkg,"""-McAfee""",McAfeeENS10.6.8.pkg,,,,,,,,,,,,,,,,,,
Policy,383,Seavus Project Viewer v3.2,43,"""Office Productivity""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,383,Seavus Project Viewer v3.2,43,"""Office Productivity""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,383,Seavus Project Viewer v3.2,43,"""Office Productivity""",,,,,,,,,,,,183,Seavus Project Viewer 3.2.pkg,"""-Seavus""",Seavus Project Viewer 3.2.pkg,,,,,,,,,,,,,,,,,,
Policy,384,Snow Agent 6.4.0 - General Availability,56,"""-Snow""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,384,Snow Agent 6.4.0 - General Availability,56,"""-Snow""",,,,,,,,,417,Static-Policy-Snow Agent Exclusion,False,,,,,,,,,,,,,,,,,,,,,,
Policy,386,Uninstall McAfee ENS,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,386,Uninstall McAfee ENS,42,"""IT Tools""",,,,339,Global-MacMD Catalina Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,386,Uninstall McAfee ENS,42,"""IT Tools""",,,,78,Static-Policy-Uninstall McAfee ENS,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,386,Uninstall McAfee ENS,42,"""IT Tools""",,,,,,,,,,,,,,,,156,Uninstall Script for McAfee,"""IT Tools""",Uninstall Script for McAfee,,,,,,,,,,,,,,
Policy,389,Microsoft Edge,32,"""Browsers""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,389,Microsoft Edge,32,"""Browsers""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,389,Microsoft Edge,32,"""Browsers""",,,,,,,,,,,,338,MicrosoftEdge-89.0.774.57.pkg,"""Browsers""",MicrosoftEdge-89.0.774.57.pkg,,,,,,,,,,,,,,,,,,
Policy,392,2020-03-04 at 3:25 PM | q1053988 | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,393,Upgrade to Mojave 14.6,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,393,Upgrade to Mojave 14.6,36,"""DIY Support""",,,,354,Policy-Staged macOS Mojave 10.14.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,393,Upgrade to Mojave 14.6,36,"""DIY Support""",False,,,,,,1253,BLRWX22093,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,398,Go To Opener v1379,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,398,Go To Opener v1379,36,"""DIY Support""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,398,Go To Opener v1379,36,"""DIY Support""",,,,,,,,,,,,195,GoToAssist Customer.pkg,"""-Go ToAssist""",GoToAssist Customer.pkg,,,,,,,,,,,,,,,,,,
Policy,401,Stage macOS Mojave 10.14.6 ,20,"""-MacMD""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,401,Stage macOS Mojave 10.14.6 ,20,"""-MacMD""",,1100,BLNWZ18048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,401,Stage macOS Mojave 10.14.6 ,20,"""-MacMD""",,,,341,Policy-Eligible Machine to upgrade Mojave 10.14.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,401,Stage macOS Mojave 10.14.6 ,20,"""-MacMD""",,,,,,,,,,,,186,Install macOS Mojave14.6.pkg,"""Test""",Install macOS Mojave.pkg,,,,,,,,,,,,,,,,,,
Policy,405,Upgrade to Catalina 15.4,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,405,Upgrade to Catalina 15.4,36,"""DIY Support""",,,,358,Policy-Staged macOS Catalina 15.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,406,Stage macOS Catalina 10.15.4,20,"""-MacMD""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,406,Stage macOS Catalina 10.15.4,20,"""-MacMD""",,,,357,Policy-Eligible Machine to upgrade Catalina 15.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,406,Stage macOS Catalina 10.15.4,20,"""-MacMD""",False,,,,,,1840,USKANWLY32212,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,406,Stage macOS Catalina 10.15.4,20,"""-MacMD""",,,,,,,,,,,,197,Install macOS Catalina10.15.04.pkg,"""-Apple""",Install macOS Catalina10.15.04.pkg,,,,,,,,,,,,,,,,,,
Policy,409,Go To Opener v1379 - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,409,Go To Opener v1379 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,195,GoToAssist Customer.pkg,"""-Go ToAssist""",GoToAssist Customer.pkg,,,,,,,,,,,,,,,,,,
Policy,410,Go To Opener v1379,60,"""-Go ToAssist""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,410,Go To Opener v1379,60,"""-Go ToAssist""",,,,356,Policy-Go ToAssist Goto Opener v1379 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,410,Go To Opener v1379,60,"""-Go ToAssist""",,,,,,,,,,,,195,GoToAssist Customer.pkg,"""-Go ToAssist""",GoToAssist Customer.pkg,,,,,,,,,,,,,,,,,,
Policy,411,Modify ADComputer Object Password Interval,20,"""-MacMD""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,411,Modify ADComputer Object Password Interval,20,"""-MacMD""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,412,2020-04-10 at 8:20 AM | s1053988 | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,413,2020-04-10 at 8:22 AM | s1053988 | 1 Computer,-1,"""No category assigned""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,416,Seavus Project Viewer v3.2 - General Availability,58,"""-Seavus""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,416,Seavus Project Viewer v3.2 - General Availability,58,"""-Seavus""",,,,363,Policy-Seavus Project Viewer v3.2 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,416,Seavus Project Viewer v3.2 - General Availability,58,"""-Seavus""",,,,,,,,,,,,183,Seavus Project Viewer 3.2.pkg,"""-Seavus""",Seavus Project Viewer 3.2.pkg,,,,,,,,,,,,,,,,,,
Policy,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",,,,232,Policy-Palo Alto Networks GlobalProtect v5.0.8 General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",False,,,,,,2177,DEFRARWLZ22866,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",False,,,,,,2534,USPLY1WL3029361,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",,,,,,,,,400,Global-MacMD Big Sur Computers,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",,,,,,,,,456,Policy-GlobalProtect V5.2.5 Machines,True,,,,,,,,,,,,,,,,,,,,,,
Packages,418,Palo Alto Networks GlobalProtect 5.0.8 - General Availability,23,"""-Palo Alto Networks""",,,,,,,,,,,,198,PaloAltoGlobalProtect-5.0.8.pkg,"""-Palo Alto Networks""",PaloAltoGlobalProtect-5.0.8.pkg,,,,,,,,,,,,,,,,,,
Policy,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",,,,362,Policy-PaperCut Print Deploy Client General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",,,,,,,,,400,Global-MacMD Big Sur Computers,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",,,,,,,,,446,Policy-PaperCut Print Deploy Client 1.5 GA,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",,,,,,,,,432,Policy-PaperCut Print Deploy Client v1.4 General Availability,True,,,,,,,,,,,,,,,,,,,,,,
Packages,419,PaperCut Print Deploy Client - General Availability,61,"""-PaperCut""",,,,,,,,,,,,199,PaperCut Print Deploy ClientJAN20.pkg,"""-Xerox""",PaperCut Print Deploy ClientJAN20.pkg,,,,,,,,,,,,,,,,,,
Policy,420,PaperCut Print Deploy Client - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,420,PaperCut Print Deploy Client - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,199,PaperCut Print Deploy ClientJAN20.pkg,"""-Xerox""",PaperCut Print Deploy ClientJAN20.pkg,,,,,,,,,,,,,,,,,,
Policy,421,Seavus Project Viewer - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,421,Seavus Project Viewer - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,183,Seavus Project Viewer 3.2.pkg,"""-Seavus""",Seavus Project Viewer 3.2.pkg,,,,,,,,,,,,,,,,,,
Policy,422,Uninstall Ms Office,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,422,Uninstall Ms Office,42,"""IT Tools""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,422,Uninstall Ms Office,42,"""IT Tools""",,,,,,,,,,,,,,,,163,Destroy MSOffice,"""IT Tools""",Destroy MSOffice,,,,,,,,,,,,,,
Policy,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,405,Policy-Microsoft Office 16.38 Not Available Machines,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,,,,,,412,Policy-Microsoft Office 16.38 Available Machines,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,,,,,,429,Policy-Microsoft Office 16.44 Available Machines,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,,,,,,430,Policy-Microsoft Office 16.45 Available Machines,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,,,,,,435,Policy-Microsoft Office 16.46 Available Machines,True,,,,,,,,,,,,,,,,,,,,,,
Scripts,424,  Microsoft Office 365 v16.38 - General Adopters,21,"""-Microsoft""",,,,,,,,,,,,,,,,167,MSOfficeUpdate,"""Office Productivity""",MSOfficeUpdate,,,,,,,,,,,,,,
Policy,425,PaperCut MF Removal,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,425,PaperCut MF Removal,42,"""IT Tools""",,,,,,,,,,,,,,,,168,PCClientRemoval,"""Printers""",PCClientRemoval,,,,,,,,,,,,,,
Policy,426,Zoom Client for Meetings - General Availability,34,"""Collaboration and Conferencing""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,426,Zoom Client for Meetings - General Availability,34,"""Collaboration and Conferencing""",,2583,USBET1WLY29050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,426,Zoom Client for Meetings - General Availability,34,"""Collaboration and Conferencing""",,,,364,Policy-Zoom v5.0.0 Client - General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,426,Zoom Client for Meetings - General Availability,34,"""Collaboration and Conferencing""",,,,408,Static-IT Admin Group,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,426,Zoom Client for Meetings - General Availability,34,"""Collaboration and Conferencing""",,,,,,,,,,,,208,ZoomIT5.0.0.pkg,"""Collaboration and Conferencing""",ZoomIT5.0.0.pkg,,,,,,,,,,,,,,,,,,
Policy,427,Policy-Removal of PaperCut Print Deploy Client v2020-04-20-1025,61,"""-PaperCut""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,427,Policy-Removal of PaperCut Print Deploy Client v2020-04-20-1025,61,"""-PaperCut""",,,,365,Policy-PaperCut Print Deploy Client v2020-04-03-1703,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,431,IQVIA Wallpaper - General Availability ,13,"""-IQVIA""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,431,IQVIA Wallpaper - General Availability ,13,"""-IQVIA""",,,,,,,,,,,,209,IQVIAWallpaper-2.0.pkg,"""-IQVIA""",DesktopPicV2.pkg,,,,,,,,,,,,,,,,,,
Scripts,431,IQVIA Wallpaper - General Availability ,13,"""-IQVIA""",,,,,,,,,,,,,,,,172,SetUserWallpaper-2.0,"""-IQVIA""",SetUserWallpaper-2.0,,,,,,,,,,,,,,
Policy,432,IQVIA Screensaver - General Availability,13,"""-IQVIA""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,432,IQVIA Screensaver - General Availability,13,"""-IQVIA""",,,,,,,,,,,,210,IQVIAScreensaver-2.0.pkg,"""-IQVIA""",IQVIAScreensaver-2.0.pkg,,,,,,,,,,,,,,,,,,
Scripts,432,IQVIA Screensaver - General Availability,13,"""-IQVIA""",,,,,,,,,,,,,,,,173,SetUserScreensaver-2.0,"""-IQVIA""",SetUserScreensaver-2.0,,,,,,,,,,,,,,
Policy,437,PaperCut MF Client V20 - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,437,PaperCut MF Client V20 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,289,PaperCut MF Client 20.pkg,"""-PaperCut""",PaperCut MF Client 20.pkg,,,,,,,,,,,,,,,,,,
Policy,441,Homebrew ,59,"""Test""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,441,Homebrew ,59,"""Test""",,,,,,,,,,,,,,,,177,Homebrew,"""Developer Tools""",Homebrew,,,,,,,,,,,,,,
Policy,442,Quit Non Essentials App,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,442,Quit Non Essentials App,42,"""IT Tools""",,,,,,,,,,,,,,,,178,Force quit all non-essential applications,"""IT Tools""",Force quit all non-essential applications,,,,,,,,,,,,,,
Policy,448,Citrix Workspace - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,448,Citrix Workspace - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,211,Citrix Workspace19.12.pkg,"""-Citrix""",Citrix Workspace19.12.pkg,,,,,,,,,,,,,,,,,,
Policy,449,Citrix Workspace,46,"""Remote Access""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,449,Citrix Workspace,46,"""Remote Access""",,,,36,Global-MacMD Computers,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,449,Citrix Workspace,46,"""Remote Access""",,,,,,,,,,,,211,Citrix Workspace19.12.pkg,"""-Citrix""",Citrix Workspace19.12.pkg,,,,,,,,,,,,,,,,,,
Policy,450,Uninstall Citrix ,42,"""IT Tools""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,450,Uninstall Citrix ,42,"""IT Tools""",,596,SF2WMY15931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,451,Citrix Workspace Settings Quintiles,46,"""Remote Access""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
